,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100
9023841,14.0,2.0,0.0,1.0,0.0,0.0
9023845,23.0,3.0,0.0,0.0,1.0,0.0
9023846,88.0,18.0,3.0,4.0,0.0,2.0
9023847,34.0,4.0,1.0,0.0,0.0,0.0
9023855,21.0,2.0,2.0,1.0,1.0,2.0
9023860,44.0,8.0,5.0,0.0,0.0,1.0
9023861,18.0,2.0,1.0,1.0,0.0,0.0
9023870,12.0,3.0,5.0,0.0,1.0,6.0
9023875,11.0,2.0,0.0,1.0,0.0,0.0
9023876,18.0,1.0,2.0,1.0,0.0,0.0
9023886,39.0,6.0,4.0,1.0,0.0,1.0
9023888,26.0,9.0,2.0,0.0,0.0,0.0
9023900,34.0,1.0,0.0,0.0,0.0,4.0
9023902,13.0,7.0,3.0,1.0,1.0,0.0
9023906,28.0,12.0,8.0,3.0,0.0,1.0
9023908,52.0,10.0,8.0,0.0,1.0,1.0
9023914,15.0,4.0,2.0,0.0,0.0,1.0
9023934,11.0,5.0,4.0,1.0,0.0,6.0
9023935,33.0,4.0,4.0,1.0,1.0,0.0
9023943,20.0,0.0,2.0,0.0,0.0,0.0
9023944,56.0,12.0,4.0,0.0,1.0,1.0
9023951,13.0,4.0,1.0,1.0,0.0,0.0
9023955,39.0,5.0,2.0,0.0,1.0,1.0
9023956,71.0,2.0,2.0,0.0,0.0,1.0
9023957,4.0,0.0,0.0,0.0,0.0,0.0
9023968,26.0,13.0,15.0,1.0,3.0,2.0
9023977,29.0,3.0,0.0,0.0,0.0,0.0
9023983,44.0,8.0,2.0,1.0,0.0,1.0
9023989,77.0,10.0,0.0,2.0,0.0,1.0
9023995,21.0,2.0,1.0,1.0,0.0,0.0
9024000,12.0,3.0,2.0,0.0,0.0,0.0
9024004,30.0,3.0,2.0,0.0,1.0,0.0
9024009,36.0,3.0,2.0,0.0,0.0,1.0
9024013,14.0,0.0,0.0,0.0,0.0,0.0
9024016,33.0,9.0,7.0,0.0,0.0,0.0
9024017,31.0,8.0,6.0,0.0,0.0,0.0
9024043,14.0,9.0,3.0,1.0,0.0,3.0
9024050,54.0,15.0,9.0,1.0,0.0,2.0
9024067,19.0,4.0,3.0,1.0,0.0,0.0
9024070,59.0,11.0,6.0,3.0,0.0,1.0
9024076,73.0,13.0,2.0,0.0,1.0,1.0
9024083,71.0,3.0,0.0,1.0,0.0,1.0
9024084,61.0,12.0,4.0,1.0,1.0,2.0
9024085,88.0,14.0,7.0,2.0,1.0,1.0
9024091,14.0,0.0,1.0,0.0,0.0,1.0
9024092,5.0,3.0,0.0,0.0,2.0,13.0
9024118,50.0,16.0,3.0,1.0,1.0,1.0
9024121,5.0,4.0,0.0,0.0,0.0,0.0
9024126,36.0,13.0,6.0,4.0,3.0,5.0
9024135,46.0,3.0,9.0,0.0,1.0,0.0
9024139,0.0,0.0,0.0,0.0,0.0,0.0
9024140,1.0,0.0,0.0,0.0,0.0,0.0
9024143,18.0,6.0,2.0,1.0,2.0,12.0
9024146,23.0,9.0,1.0,1.0,0.0,0.0
9024154,27.0,7.0,6.0,2.0,0.0,0.0
9024157,36.0,8.0,2.0,1.0,1.0,0.0
9024182,10.0,2.0,1.0,0.0,0.0,0.0
9024183,26.0,14.0,3.0,0.0,1.0,0.0
9024186,24.0,1.0,2.0,0.0,0.0,0.0
9024187,53.0,12.0,5.0,0.0,2.0,0.0
9024194,50.0,14.0,5.0,0.0,1.0,1.0
9024195,30.0,18.0,7.0,1.0,0.0,0.0
9024232,3.0,1.0,0.0,0.0,0.0,4.0
9024233,37.0,13.0,6.0,0.0,2.0,2.0
9024234,27.0,3.0,3.0,1.0,0.0,1.0
9024236,8.0,3.0,3.0,0.0,0.0,0.0
9024248,71.0,1.0,1.0,0.0,0.0,0.0
9024254,30.0,20.0,8.0,5.0,2.0,2.0
9024286,35.0,18.0,8.0,2.0,5.0,0.0
9024287,32.0,6.0,28.0,15.0,7.0,5.0
9024292,23.0,2.0,1.0,0.0,0.0,14.0
9024314,23.0,5.0,1.0,0.0,0.0,6.0
9024323,21.0,6.0,3.0,0.0,0.0,0.0
9024326,11.0,0.0,1.0,0.0,0.0,0.0
9024328,40.0,11.0,7.0,4.0,1.0,0.0
9024329,0.0,0.0,0.0,0.0,0.0,0.0
9024335,34.0,7.0,4.0,2.0,0.0,10.0
9024336,27.0,5.0,6.0,0.0,0.0,0.0
9024346,24.0,1.0,1.0,0.0,0.0,0.0
9024347,18.0,1.0,2.0,0.0,0.0,0.0
9024352,11.0,5.0,2.0,1.0,1.0,6.0
9024354,31.0,3.0,4.0,2.0,0.0,0.0
9024380,65.0,1.0,1.0,0.0,0.0,0.0
9024385,23.0,1.0,2.0,1.0,0.0,0.0
9024386,32.0,2.0,1.0,2.0,0.0,1.0
9024410,8.0,1.0,2.0,0.0,0.0,3.0
9024412,33.0,3.0,2.0,0.0,1.0,0.0
9024438,15.0,3.0,1.0,0.0,0.0,1.0
9024466,30.0,6.0,3.0,1.0,3.0,0.0
9024467,29.0,5.0,5.0,2.0,0.0,0.0
9024473,6.0,1.0,0.0,0.0,0.0,0.0
9024493,17.0,2.0,3.0,0.0,0.0,1.0
9024495,1.0,0.0,0.0,0.0,0.0,0.0
9024496,29.0,7.0,12.0,6.0,1.0,2.0
9024497,34.0,8.0,2.0,2.0,1.0,1.0
9024502,15.0,6.0,2.0,2.0,1.0,0.0
9024505,10.0,6.0,0.0,1.0,0.0,0.0
9024506,38.0,3.0,2.0,0.0,0.0,0.0
9024507,16.0,3.0,0.0,2.0,0.0,0.0
9024515,34.0,12.0,4.0,4.0,1.0,3.0
9024520,18.0,6.0,3.0,2.0,0.0,10.0
9024534,51.0,15.0,10.0,2.0,1.0,2.0
9024538,0.0,0.0,0.0,0.0,0.0,1.0
9024554,94.0,20.0,12.0,3.0,4.0,4.0
9024555,25.0,6.0,0.0,0.0,0.0,0.0
9024556,39.0,9.0,1.0,0.0,0.0,0.0
