,RP_5,RP_10,RP_25,RP_100,RP_2,RP_50
9022703,1.0,0.0,0.0,0.0,5.0,0.0
9022710,0.0,1.0,0.0,0.0,6.0,0.0
9022714,1.0,1.0,1.0,0.0,2.0,0.0
9022715,0.0,0.0,1.0,1.0,3.0,2.0
9022716,2.0,0.0,0.0,1.0,5.0,0.0
9022718,1.0,0.0,0.0,0.0,6.0,0.0
9022728,1.0,0.0,0.0,0.0,6.0,0.0
9022730,1.0,0.0,1.0,0.0,1.0,0.0
9022731,0.0,5.0,1.0,1.0,4.0,0.0
9022732,1.0,1.0,0.0,0.0,2.0,0.0
9022733,0.0,0.0,1.0,1.0,6.0,0.0
9022742,1.0,0.0,1.0,0.0,3.0,0.0
9022747,2.0,1.0,0.0,0.0,1.0,1.0
9022755,0.0,1.0,0.0,0.0,2.0,0.0
9022772,2.0,1.0,0.0,2.0,8.0,0.0
9022775,1.0,0.0,1.0,0.0,2.0,0.0
9022776,1.0,1.0,1.0,0.0,11.0,0.0
9022777,0.0,0.0,0.0,2.0,15.0,0.0
9022778,1.0,0.0,0.0,0.0,4.0,0.0
9022787,2.0,1.0,0.0,1.0,11.0,1.0
9022789,0.0,1.0,1.0,0.0,8.0,0.0
9022790,0.0,1.0,0.0,0.0,1.0,0.0
9022791,1.0,0.0,0.0,0.0,4.0,0.0
9022801,2.0,2.0,1.0,3.0,20.0,0.0
9022808,1.0,1.0,0.0,0.0,8.0,1.0
9022809,1.0,1.0,0.0,1.0,5.0,0.0
9022819,1.0,0.0,0.0,0.0,5.0,0.0
9022821,0.0,1.0,0.0,0.0,3.0,0.0
9022832,0.0,1.0,0.0,1.0,7.0,0.0
9022833,3.0,2.0,0.0,0.0,6.0,0.0
9022838,1.0,0.0,0.0,0.0,4.0,0.0
9022843,0.0,1.0,0.0,0.0,6.0,0.0
9022847,0.0,0.0,0.0,0.0,0.0,0.0
9022856,2.0,2.0,1.0,3.0,20.0,0.0
9022859,1.0,1.0,1.0,0.0,10.0,0.0
9022861,1.0,1.0,0.0,4.0,9.0,0.0
9022868,0.0,1.0,0.0,0.0,2.0,0.0
9022869,0.0,1.0,0.0,0.0,3.0,0.0
9022876,1.0,0.0,0.0,0.0,5.0,0.0
9022897,0.0,0.0,0.0,1.0,12.0,0.0
9022900,1.0,0.0,0.0,0.0,0.0,0.0
9022907,0.0,1.0,0.0,1.0,2.0,0.0
9022910,2.0,1.0,0.0,0.0,11.0,0.0
9022926,0.0,1.0,0.0,1.0,3.0,0.0
9022935,1.0,0.0,0.0,0.0,6.0,0.0
9022936,2.0,1.0,1.0,0.0,7.0,0.0
9022937,1.0,1.0,0.0,1.0,13.0,1.0
9022945,3.0,0.0,1.0,2.0,6.0,0.0
9022946,4.0,1.0,0.0,2.0,6.0,0.0
9022951,0.0,0.0,0.0,0.0,3.0,0.0
9022965,0.0,0.0,0.0,0.0,7.0,0.0
9022970,1.0,0.0,1.0,0.0,2.0,0.0
9022977,2.0,0.0,0.0,0.0,4.0,0.0
9022981,0.0,1.0,0.0,0.0,1.0,0.0
9022986,3.0,0.0,1.0,0.0,6.0,0.0
9022991,0.0,1.0,1.0,4.0,12.0,1.0
9023002,1.0,0.0,0.0,0.0,6.0,0.0
9023004,1.0,1.0,0.0,1.0,13.0,0.0
9023017,0.0,1.0,0.0,0.0,5.0,0.0
9023025,3.0,1.0,0.0,0.0,0.0,0.0
9023026,0.0,1.0,0.0,0.0,2.0,0.0
9023037,0.0,0.0,1.0,1.0,5.0,0.0
9023038,0.0,0.0,0.0,1.0,5.0,1.0
9023065,1.0,1.0,0.0,0.0,6.0,0.0
9023068,2.0,0.0,1.0,0.0,1.0,0.0
9023072,0.0,0.0,0.0,0.0,2.0,0.0
9023082,2.0,2.0,1.0,4.0,6.0,0.0
9023083,3.0,1.0,1.0,2.0,16.0,1.0
9023089,0.0,0.0,0.0,0.0,2.0,0.0
9023092,0.0,1.0,0.0,0.0,6.0,0.0
9023095,1.0,0.0,0.0,0.0,3.0,0.0
9023099,0.0,1.0,1.0,0.0,4.0,0.0
9023105,0.0,0.0,0.0,0.0,0.0,0.0
9023111,0.0,1.0,0.0,0.0,1.0,0.0
9023119,0.0,1.0,0.0,0.0,6.0,0.0
9023122,0.0,1.0,0.0,0.0,3.0,0.0
9023123,0.0,0.0,0.0,0.0,2.0,1.0
9023137,3.0,0.0,0.0,0.0,5.0,0.0
9023142,2.0,1.0,0.0,1.0,8.0,1.0
9023143,4.0,1.0,0.0,1.0,14.0,0.0
9023154,1.0,0.0,0.0,0.0,2.0,0.0
9023158,0.0,0.0,1.0,1.0,6.0,0.0
9023165,3.0,4.0,0.0,0.0,2.0,1.0
9023189,0.0,0.0,1.0,0.0,3.0,0.0
9023190,1.0,0.0,0.0,0.0,7.0,0.0
9023210,3.0,0.0,0.0,1.0,8.0,1.0
9023224,1.0,1.0,0.0,1.0,5.0,0.0
9023238,5.0,2.0,0.0,0.0,13.0,0.0
9023249,0.0,1.0,0.0,0.0,3.0,0.0
9023250,0.0,1.0,0.0,0.0,4.0,0.0
9023256,1.0,0.0,1.0,0.0,10.0,0.0
9023270,3.0,0.0,0.0,1.0,8.0,1.0
9023278,1.0,0.0,0.0,2.0,13.0,0.0
9023296,2.0,0.0,0.0,0.0,6.0,0.0
9023304,5.0,0.0,0.0,0.0,17.0,0.0
9023309,4.0,1.0,0.0,1.0,6.0,0.0
9023312,0.0,0.0,1.0,0.0,4.0,0.0
9023320,1.0,1.0,0.0,0.0,10.0,0.0
9023321,0.0,2.0,2.0,1.0,4.0,1.0
9023329,0.0,1.0,0.0,0.0,7.0,1.0
9023345,0.0,1.0,0.0,0.0,7.0,0.0
9023346,0.0,1.0,0.0,0.0,7.0,0.0
9023352,0.0,1.0,0.0,0.0,8.0,1.0
9023370,3.0,1.0,1.0,0.0,4.0,0.0
9023374,0.0,1.0,0.0,0.0,5.0,1.0
9023381,1.0,0.0,0.0,0.0,7.0,0.0
9023387,1.0,1.0,0.0,0.0,6.0,0.0
9023391,1.0,0.0,0.0,0.0,8.0,1.0
9023392,2.0,0.0,0.0,0.0,9.0,1.0
9023394,1.0,0.0,0.0,0.0,17.0,0.0
9023398,0.0,1.0,1.0,0.0,2.0,0.0
9023417,2.0,2.0,0.0,0.0,9.0,0.0
9023422,1.0,0.0,0.0,1.0,10.0,1.0
9023424,0.0,0.0,1.0,0.0,4.0,0.0
9023426,0.0,0.0,0.0,3.0,0.0,0.0
9023441,2.0,0.0,1.0,0.0,2.0,0.0
9023442,1.0,1.0,1.0,0.0,2.0,0.0
9023453,4.0,2.0,0.0,0.0,17.0,0.0
9023462,0.0,1.0,0.0,0.0,4.0,0.0
9023463,1.0,0.0,0.0,0.0,6.0,0.0
9023468,1.0,1.0,0.0,0.0,6.0,0.0
9023470,0.0,0.0,0.0,0.0,5.0,1.0
9023471,0.0,0.0,1.0,0.0,4.0,0.0
9023477,2.0,2.0,0.0,0.0,11.0,0.0
9023481,4.0,1.0,1.0,0.0,3.0,0.0
9023482,1.0,0.0,0.0,2.0,12.0,0.0
9023501,1.0,0.0,0.0,0.0,5.0,0.0
9023507,0.0,0.0,0.0,0.0,0.0,0.0
9023508,0.0,0.0,0.0,0.0,2.0,0.0
9023529,1.0,0.0,1.0,0.0,2.0,0.0
9023530,0.0,0.0,1.0,0.0,5.0,0.0
9023531,0.0,1.0,0.0,0.0,8.0,1.0
9023552,0.0,3.0,1.0,2.0,1.0,2.0
9023553,1.0,0.0,0.0,2.0,13.0,0.0
9023569,1.0,0.0,1.0,0.0,6.0,0.0
9023575,0.0,0.0,1.0,0.0,4.0,0.0
9023580,1.0,0.0,0.0,0.0,28.0,0.0
9023581,0.0,0.0,0.0,0.0,4.0,0.0
9023582,3.0,1.0,1.0,0.0,1.0,0.0
9023588,5.0,0.0,1.0,0.0,2.0,0.0
9023597,1.0,0.0,0.0,0.0,6.0,1.0
9023612,2.0,1.0,0.0,0.0,2.0,0.0
9023615,0.0,0.0,1.0,0.0,5.0,0.0
9023616,1.0,1.0,0.0,1.0,12.0,0.0
9023624,2.0,0.0,0.0,1.0,2.0,0.0
9023625,1.0,2.0,0.0,0.0,7.0,0.0
9023632,1.0,1.0,0.0,0.0,5.0,1.0
9023633,1.0,1.0,0.0,0.0,6.0,0.0
9023634,1.0,0.0,1.0,0.0,7.0,0.0
9023649,0.0,0.0,0.0,0.0,7.0,0.0
9023654,1.0,0.0,0.0,0.0,4.0,0.0
9023659,4.0,2.0,2.0,2.0,8.0,0.0
9023684,1.0,0.0,0.0,0.0,3.0,0.0
9023685,1.0,0.0,0.0,0.0,6.0,1.0
9023686,1.0,0.0,1.0,0.0,6.0,0.0
9023691,2.0,0.0,0.0,1.0,3.0,0.0
9023694,1.0,0.0,0.0,0.0,6.0,1.0
9023709,1.0,0.0,0.0,1.0,9.0,0.0
9023716,0.0,0.0,0.0,2.0,3.0,0.0
9023743,0.0,1.0,0.0,5.0,1.0,1.0
9023746,1.0,0.0,0.0,0.0,1.0,0.0
9023765,3.0,0.0,2.0,1.0,11.0,2.0
9023766,0.0,0.0,1.0,2.0,0.0,0.0
9023769,1.0,2.0,0.0,0.0,17.0,1.0
9023794,0.0,0.0,0.0,0.0,2.0,0.0
9023798,0.0,0.0,0.0,0.0,5.0,0.0
9023799,0.0,1.0,0.0,0.0,8.0,0.0
9023807,2.0,0.0,0.0,1.0,4.0,0.0
9023808,2.0,5.0,3.0,1.0,6.0,0.0
9023812,0.0,0.0,0.0,0.0,1.0,0.0
9023813,2.0,1.0,0.0,0.0,12.0,0.0
9023815,0.0,0.0,0.0,0.0,6.0,0.0
9023816,1.0,0.0,0.0,1.0,2.0,0.0
9023817,0.0,0.0,0.0,0.0,5.0,0.0
9023818,1.0,3.0,1.0,0.0,7.0,0.0
9023821,0.0,0.0,0.0,1.0,4.0,0.0
9023822,1.0,1.0,0.0,0.0,5.0,1.0
9023823,2.0,1.0,0.0,0.0,31.0,0.0
9023831,0.0,1.0,0.0,0.0,8.0,0.0
9023833,0.0,1.0,0.0,0.0,3.0,0.0
9023841,0.0,0.0,1.0,0.0,4.0,0.0
9023845,1.0,0.0,0.0,0.0,3.0,1.0
9023846,3.0,1.0,1.0,1.0,18.0,0.0
9023847,0.0,0.0,0.0,0.0,10.0,0.0
9023855,0.0,0.0,1.0,0.0,9.0,0.0
9023860,2.0,0.0,0.0,1.0,7.0,0.0
9023861,0.0,1.0,0.0,0.0,7.0,0.0
9023870,2.0,0.0,0.0,1.0,6.0,1.0
9023875,0.0,0.0,1.0,0.0,3.0,0.0
9023876,0.0,1.0,0.0,0.0,7.0,0.0
9023886,2.0,1.0,1.0,0.0,8.0,0.0
9023888,3.0,0.0,0.0,0.0,7.0,0.0
9023900,0.0,0.0,0.0,1.0,3.0,0.0
9023902,3.0,0.0,1.0,0.0,3.0,0.0
9023906,3.0,3.0,1.0,0.0,5.0,0.0
9023908,1.0,0.0,0.0,1.0,7.0,0.0
9023914,1.0,0.0,0.0,1.0,7.0,0.0
9023934,1.0,2.0,0.0,1.0,4.0,0.0
9023935,0.0,0.0,1.0,0.0,7.0,0.0
9023943,0.0,0.0,0.0,0.0,3.0,0.0
9023944,2.0,0.0,0.0,1.0,4.0,0.0
9023951,1.0,0.0,0.0,0.0,3.0,0.0
9023955,1.0,0.0,0.0,0.0,4.0,1.0
9023956,0.0,1.0,0.0,1.0,7.0,0.0
9023957,0.0,0.0,0.0,0.0,2.0,0.0
9023968,3.0,5.0,1.0,1.0,4.0,0.0
9023977,1.0,0.0,0.0,0.0,5.0,0.0
9023983,2.0,0.0,1.0,0.0,4.0,0.0
9023989,1.0,0.0,1.0,1.0,11.0,0.0
9023995,0.0,0.0,0.0,0.0,3.0,0.0
