country,comid,latitude,longitude,alert
col,9028727,-1.55328089,-69.35037751,R0
col,9028735,-1.548039308,-69.2834297,R0
col,9028747,-1.585477843,-69.43874656,R0
col,9021025,0.862078607,-69.00781812,R0
col,9006726,6.526391232,-69.71391132,R0
col,9028726,-1.579332453,-69.37697943,R0
col,9006301,6.763882599,-69.85560049,R0
col,9009636,5.162585738,-67.77377068,R0
col,9009685,5.167552389,-67.83266826,R0
col,9010266,4.910195092,-67.83178495,R0
col,9027930,-1.345316579,-73.98021231,R0
col,9010111,5.005781608,-67.81670584,R0
col,9008453,5.714615916,-67.63137499,R0
col,9008738,5.560717774,-67.51543128,R0
col,9009507,5.216768235,-67.72412424,R0
col,9027794,-1.316324272,-69.26676452,R0
col,9028104,-1.401080099,-69.37132022,R0
col,9027988,-1.358991193,-69.32320032,R0
col,9012310,4.05335773,-67.6421875,R0
col,9027931,-1.352757529,-69.37585647,R0
col,9005804,7.016946351,-71.12082995,R0
col,9005831,6.998055677,-71.00596417,R0
col,9027793,-1.314311586,-69.27920811,R0
col,9007435,6.13406711,-68.6668805,R0
col,9007436,6.134375003,-68.65687501,R0
col,9027221,-1.127673943,-74.10314222,R0
col,9009818,5.068541671,-67.80729168,R2
col,9007318,6.20801835,-68.01812194,R0
col,9007321,6.202598296,-69.00118152,R0
col,9007188,6.266769957,-67.54150186,R0
col,9007434,6.156118689,-68.76021253,R0
col,9012463,3.987252324,-67.53076335,R0
col,9012443,4.012435714,-67.61599454,R0
col,9012444,3.988750005,-67.52750001,R0
col,9010322,4.858456599,-67.82419947,R0
col,9009827,5.093953275,-67.82843186,R0
col,9009828,5.064129609,-67.81456799,R0
col,9010074,5.017644479,-67.76416048,R0
col,9005728,7.054199623,-71.50035515,R0
col,9005696,7.080809907,-69.95579405,R0
col,9004921,7.513684435,-72.19684062,R0
col,9005708,7.111169929,-70.35808234,R0
col,9005725,7.035940143,-69.9316299,R0
col,9020090,1.250712779,-67.21581691,R0
